project,status,team_total,our_total,our_tagged_pct_of_team,product_recall,product_precision,tag_recall,tag_precision,schedule_tags_found,runtime_s,error
4.10.26 HVAC Replacement At The Leadership Academy - Lancaster,cached,4,98,0.0,0.0,0.0,0.0,0.0,0,0.0,
4.10.26 Woodbridge HS Modernization - Bldg J & K,timeout,141,0,0.0,,,,,72,600.2,CLI timed out (>10min)
4.13.26 AALRR - Citrus Tower,no_detections,46,0,0.0,,,,,0,114.2,
4.13.26 Building Improvement - 640 N Sepulveda Blvd  (Ph3 &  Ph4),cached,131,100,0.05343511450381679,0.05343511450381679,0.07,0.0,0.0,26,0.0,
4.13.26 Erewhon - Pacific Palisades,cached,59,94,0.7796610169491526,0.7796610169491526,0.48936170212765956,0.0,0.0,0,0.0,
4.13.26 Krispy Kreme #574 - Valencia,cached,39,46,0.02564102564102564,0.02564102564102564,0.021739130434782608,0.0,0.0,0,0.0,
4.13.26 Rady's Children - Temecula Plaza,cached,123,2,0.0,0.0,0.0,0.0,0.0,0,0.0,
4.13.26 Skytron Modern Aviation Bldg B TI,cached,53,83,0.6981132075471698,0.6981132075471698,0.4457831325301205,0.0,0.0,0,0.0,
4.13.26 The Bungalow - San Diego,cached,73,101,0.7123287671232876,0.7123287671232876,0.5148514851485149,0.0,0.0,67,0.0,
4.14.26 BMO Santee CA De Novo 2026 Reno,cached,40,64,0.725,0.725,0.453125,0.1,0.0625,29,0.0,
4.14.26 Saint Mary's Stadium Clubhouse,cached,63,95,0.6190476190476191,0.6190476190476191,0.4105263157894737,0.0,0.0,0,0.0,
4.14.26 ScanHealth - Cerritos,timeout,60,0,0.0,,,,,0,600.5,CLI timed out (>10min)
4.15.26 9020 Aviation,cached,72,66,0.5972222222222222,0.5972222222222222,0.6515151515151515,0.0,0.0,2,0.0,
4.15.26 Free People - 6300 W. 3rd Street,cached,42,34,0.47619047619047616,0.47619047619047616,0.5882352941176471,0.0,0.0,1,0.0,
4.15.26 Ontario Museum Of History & Art - North Gallery,no_detections,43,0,0.0,,,,,0,95.7,
4.15.26 Sola Salons,cached,100,196,0.43,0.43,0.2193877551020408,0.31,0.15816326530612246,11,0.0,
4.16.26 Best RV Turlock,timeout,355,0,0.0,,,,,30,600.2,CLI timed out (>10min)
4.16.26 Harbor Freight - Napa,cached,27,11,0.14814814814814814,0.14814814814814814,0.36363636363636365,0.0,0.0,44,0.0,
4.16.26 JPMC One Paseo 2nd Floor Expansion,cached,82,5,0.0,0.0,0.0,0.0,0.0,19,0.0,
4.16.26 OSI Irvine Relocation (OSI Pacifica),timeout,178,0,0.0,,,,,0,600.3,CLI timed out (>10min)
4.16.26 TVUSD Temecula ES Renovation,no_detections,28,0,0.0,,,,,16,116.6,
4.16.26 Zion Market - Shell Improvements,cached,89,67,0.011235955056179775,0.011235955056179775,0.014925373134328358,0.0,0.0,0,0.0,
4.17.26 Alliance Mass Stern Remodel,cached,43,5,0.046511627906976744,0.046511627906976744,0.4,0.0,0.0,25,0.0,
4.17.26 Bradley Terraces - Skilled Nursing Facility,timeout,163,0,0.0,,,,,30,600.2,CLI timed out (>10min)
4.17.26 LBUSD Stevenson ES,timeout,211,0,0.0,,,,,91,600.2,CLI timed out (>10min)
4.18.26 Acushnet Bldg 1 TI,timeout,196,0,0.0,,,,,57,600.1,CLI timed out (>10min)
4.18.26 MBUSD Manhattan Beach MS,timeout,1,0,0.0,,,,,24,600.2,CLI timed out (>10min)
4.18.26 MBUSD Mira Costa HS,timeout,2,0,0.0,,,,,36,600.2,CLI timed out (>10min)
4.18.26 UCLA Health Oncology TI,timeout,309,0,0.0,,,,,49,600.2,CLI timed out (>10min)
4.21.26 677 Imperial Street - TI,ok,59,3,0.0,0.0,0.0,0.0,0.0,8,119.1,
4.21.26 Anaheim 82,ok,53,75,0.7358490566037735,0.7358490566037735,0.52,0.0,0.0,0,128.5,
4.21.26 Autry Museum Of The American West - Cafe And Kitchen,ok,25,28,0.44,0.44,0.39285714285714285,0.0,0.0,0,67.4,
4.21.26 Space Shuttle Exhibit And Education Bldg,ok,75,91,0.41333333333333333,0.41333333333333333,0.34065934065934067,0.0,0.0,34,491.1,
4.22.26 29th Street Apartments,timeout,71,0,0.0,,,,,11,600.2,CLI timed out (>10min)
